                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3903,                 2.0105,                0.88488,                0.50771,                0.33861,                0.25781,                0.12912,                 1.4402,                  1.165,                0.85105,               0.070769,              0.0032479,              0.0032479
                      1,                 1.4963,                 1.1137,                0.86774,                0.60004,                0.40856,                0.38009,                0.13928,                  1.763,                  1.281,                0.89652,               0.040509,              0.0063206,              0.0063206
                      2,                 1.5472,                 1.2731,                   0.89,                 0.7152,                0.43911,                0.53984,                0.26745,                 1.4558,                 1.1658,                0.86913,               0.009984,              0.0091293,              0.0091293
                      3,                 1.6503,                 1.0859,                0.89504,                0.76285,                0.55423,                0.57869,                0.29045,                 1.4201,                0.78209,                0.86731,               0.008812,               0.008812,               0.008812
                      4,                 1.5211,                0.97322,                0.88477,                0.80686,                0.49335,                0.54549,                0.22938,                 1.7883,                0.92821,                0.90126,               0.008812,               0.008812,               0.008812
                      5,                 1.4754,                0.81133,                0.87302,                0.85923,                0.53741,                0.66113,                0.34855,                  1.365,                0.73668,                0.86721,               0.008416,               0.008416,               0.008416
                      6,                 1.4079,                0.73792,                0.86141,                0.91354,                 0.5242,                0.65908,                0.33659,                  1.449,                0.70085,                0.87299,                0.00802,                0.00802,                0.00802
                      7,                 1.3403,                0.70364,                 0.8549,                0.69664,                0.64409,                0.68407,                0.43934,                 1.0514,                0.68561,                0.82068,               0.007624,               0.007624,               0.007624
                      8,                 1.2351,                0.66134,                 0.8455,                0.80897,                0.65702,                0.71834,                0.44228,                 1.0677,                0.58297,                0.82014,               0.007228,               0.007228,               0.007228
                      9,                  1.204,                0.62023,                0.83911,                 0.7773,                0.67059,                0.71176,                0.41518,                 1.1253,                0.59383,                0.82892,               0.006832,               0.006832,               0.006832
                     10,                 1.1499,                0.59787,                0.83689,                0.83403,                0.68088,                0.74042,                0.43805,                 1.0197,                0.55091,                0.82787,               0.006436,               0.006436,               0.006436
                     11,                 1.0952,                 0.5648,                 0.8309,                0.80546,                0.69151,                0.74087,                0.47721,                0.99295,                0.54153,                0.81928,                0.00604,                0.00604,                0.00604
                     12,                 1.0612,                 0.5527,                0.82897,                0.82087,                 0.6881,                0.76101,                 0.4772,                0.97737,                0.52889,                0.82002,               0.005644,               0.005644,               0.005644
                     13,                 1.0439,                0.53313,                0.82262,                0.79393,                0.72526,                0.74551,                0.48798,                0.89294,                0.49824,                0.81515,               0.005248,               0.005248,               0.005248
                     14,                 1.0081,                 0.5106,                0.81792,                0.84856,                0.69222,                 0.7678,                0.49419,                 0.8681,                0.47767,                0.81112,               0.004852,               0.004852,               0.004852
                     15,                0.93255,                0.49881,                 0.8184,                0.81038,                0.73225,                  0.768,                0.50997,                 0.8698,                0.48106,                0.80686,               0.004456,               0.004456,               0.004456
                     16,                0.89634,                 0.4829,                0.81707,                0.82715,                 0.6684,                0.74639,                 0.5133,                0.83129,                0.46476,                0.80664,                0.00406,                0.00406,                0.00406
                     17,                0.87674,                0.46746,                0.81178,                0.84884,                0.69169,                0.76132,                0.52085,                0.85591,                0.48831,                0.81085,               0.003664,               0.003664,               0.003664
                     18,                0.84783,                0.45174,                0.81148,                 0.8065,                0.68496,                0.75166,                0.49564,                0.84106,                0.46684,                 0.8052,               0.003268,               0.003268,               0.003268
                     19,                0.83655,                0.44552,                0.80827,                0.87882,                0.67558,                0.76684,                  0.529,                0.79481,                0.44072,                0.80054,               0.002872,               0.002872,               0.002872
                     20,                0.80034,                0.42809,                0.80676,                0.86026,                0.69895,                0.77575,                0.53937,                0.78837,                0.42724,                0.80146,               0.002476,               0.002476,               0.002476
                     21,                0.79794,                0.42298,                0.80624,                0.81929,                0.72032,                0.77488,                0.53133,                0.76711,                0.42996,                0.79805,                0.00208,                0.00208,                0.00208
                     22,                0.79252,                0.41841,                0.80337,                0.79628,                 0.7521,                0.77985,                0.54248,                0.75932,                0.41649,                 0.7981,               0.001684,               0.001684,               0.001684
                     23,                 0.7809,                0.40883,                0.79992,                0.78581,                0.74364,                0.78517,                0.54995,                0.73934,                0.40019,                0.79558,               0.001288,               0.001288,               0.001288
                     24,                0.76122,                0.39816,                0.79981,                0.77133,                0.74642,                0.77391,                 0.5495,                0.73712,                0.39978,                0.79447,               0.000892,               0.000892,               0.000892
